run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	base_count	fastq_ftp	fastq_md5
ERR010982	SAMEA781333	ERX003999	PRJEB2067	9606	Homo sapiens	1977653608	ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010982/ERR010982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010982/ERR010982_2.fastq.gz	51860828f7a0e161cc8de31d3c01ffbc;239edb5ff4ded95e395ffdb14f38e13f
ERR010983	SAMEA781333	ERX003999	PRJEB2067	9606	Homo sapiens	2026176872	ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010983/ERR010983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010983/ERR010983_2.fastq.gz	6dd9958a2a4608e25faf21996bcdd142;12302d1f5db24db7779beb507be88e01
ERR010984	SAMEA781333	ERX003999	PRJEB2067	9606	Homo sapiens	2031031752	ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010984/ERR010984_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010984/ERR010984_2.fastq.gz	208640121924c585a1650b1220f39c19;e4cab8faead6f65b8c4e57609a3267d8
ERR010985	SAMEA781333	ERX003999	PRJEB2067	9606	Homo sapiens	2346273976	ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010985/ERR010985_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010985/ERR010985_2.fastq.gz	55bf01a30edb0e4437314fa4a464e79c;630ed42d7e2daef043543752031380d5
ERR010986	SAMEA781333	ERX003999	PRJEB2067	9606	Homo sapiens	2357609984	ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010986/ERR010986_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010986/ERR010986_2.fastq.gz	3df4388c06528dcb2037e0ff0a2bc49a;c6e60817584393727cbb37bef8885113
ERR010987	SAMEA781333	ERX003999	PRJEB2067	9606	Homo sapiens	2370053464	ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010987/ERR010987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010987/ERR010987_2.fastq.gz	69db93ff2190a6237c5498d7429b6e7f;52f56a94699443c4a15ed959124fc35c
ERR010988	SAMEA781333	ERX003999	PRJEB2067	9606	Homo sapiens	2326260136	ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010988/ERR010988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010988/ERR010988_2.fastq.gz	0bd48fa878708f1e5a8f3bdcf1caf814;cb724f3c83f55d33e7ae44b4ede14728
ERR010989	SAMEA781338	ERX004000	PRJEB2067	9606	Homo sapiens	1840821688	ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010989/ERR010989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010989/ERR010989_2.fastq.gz	7d8de1ead60e095a60d53ad5d098aab0;24202700a702d44a68d8b78dca0b190b
ERR010990	SAMEA781338	ERX004000	PRJEB2067	9606	Homo sapiens	1936045736	ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010990/ERR010990_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010990/ERR010990_2.fastq.gz	549da590c941c7587f33fedd66501240;33ea39c11b69cb144449b9457bb16ec4
ERR010991	SAMEA781338	ERX004000	PRJEB2067	9606	Homo sapiens	1890871184	ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010991/ERR010991_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010991/ERR010991_2.fastq.gz	a0d868aa67bd499ece9b63640f988e60;399ef154d4cd0ae2ea864bf7cf7dadb5
ERR010992	SAMEA781338	ERX004000	PRJEB2067	9606	Homo sapiens	2325154792	ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010992/ERR010992_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010992/ERR010992_2.fastq.gz	75235ad3eff7ec60608ee84364cd2bfa;bd964ea09ea3d2414a0ad91f6b5659e2
ERR010993	SAMEA781338	ERX004000	PRJEB2067	9606	Homo sapiens	2387152704	ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010993/ERR010993_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010993/ERR010993_2.fastq.gz	f862427c7b1a8ac40d3f1d54d996ff74;633c137af17a24923868d89ce1ab04f7
ERR010994	SAMEA781338	ERX004000	PRJEB2067	9606	Homo sapiens	2537900984	ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010994/ERR010994_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010994/ERR010994_2.fastq.gz	53b55cd0f60815a67341f543cd54a542;d204e2d2181db6e5cd2d964d8df7d50c
ERR010995	SAMEA781338	ERX004000	PRJEB2067	9606	Homo sapiens	2410890544	ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010995/ERR010995_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010995/ERR010995_2.fastq.gz	0fcd1c647f8713259c4d5fac44b6fda1;1b68260620f30f4791c7fa8a588c091f
ERR010996	SAMEA781334	ERX004001	PRJEB2067	9606	Homo sapiens	2312504592	ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010996/ERR010996_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010996/ERR010996_2.fastq.gz	69c7decdad7ff13391dc6379eed478d5;7f20fa89b93026941b5015506bbddece
ERR010997	SAMEA781334	ERX004001	PRJEB2067	9606	Homo sapiens	2459769488	ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010997/ERR010997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR010/ERR010997/ERR010997_2.fastq.gz	c8add901b466abdde48976a60c8a068a;ef875240af2b2a4b41648e1dd071380b
