run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	base_count	fastq_ftp	fastq_md5
ERR8050024	SAMEA12338222	ERX7616741	PRJEB49971	9606	Homo sapiens	10140579909	ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/004/ERR8050024/ERR8050024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/004/ERR8050024/ERR8050024_2.fastq.gz	01af2ddb2b1bd4f1c56f8cef782f59a4;a5c135cfe38e49e37190ddc6f9c4e8db
ERR8050025	SAMEA12338223	ERX7616742	PRJEB49971	9606	Homo sapiens	14843916919	ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/005/ERR8050025/ERR8050025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/005/ERR8050025/ERR8050025_2.fastq.gz	8e66cdfd71e1656149c34daa51443d86;73d8a76d0da0c1f39948e37ab9d2ce45
ERR8050026	SAMEA12338224	ERX7616743	PRJEB49971	9606	Homo sapiens	5823556038	ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/006/ERR8050026/ERR8050026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/006/ERR8050026/ERR8050026_2.fastq.gz	6fa0906e71be12c4ad9d3ac3d54e6b1b;47e86fa27c3b4faca113386894769151
ERR8050027	SAMEA12338225	ERX7616744	PRJEB49971	9606	Homo sapiens	13261053065	ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/007/ERR8050027/ERR8050027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/007/ERR8050027/ERR8050027_2.fastq.gz	048c34885ea1887cc2abd9fb357e7a6e;1bc716178aeb3470f655f9bfdd0b9f3e
ERR8050028	SAMEA12338226	ERX7616745	PRJEB49971	9606	Homo sapiens	13152497021	ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/008/ERR8050028/ERR8050028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/008/ERR8050028/ERR8050028_2.fastq.gz	65604f9f4a64631ab3df8a038c1b6a4c;f0f3ba51f5a81af97b46738bb54a72e1
ERR8050029	SAMEA12338227	ERX7616746	PRJEB49971	9606	Homo sapiens	8109012618	ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/009/ERR8050029/ERR8050029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/009/ERR8050029/ERR8050029_2.fastq.gz	f100533c8586dba805f2f56a7d3f3832;db0954819d154dd6e48d451d199ab112
ERR8050030	SAMEA12338228	ERX7616747	PRJEB49971	9606	Homo sapiens	18926474692	ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/000/ERR8050030/ERR8050030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/000/ERR8050030/ERR8050030_2.fastq.gz	0335c1885d3536bddbde4c4c67f85862;8b54c8e466b9a1453ede01d552ec2e93
ERR8050031	SAMEA12338229	ERX7616748	PRJEB49971	9606	Homo sapiens	8136950837	ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/001/ERR8050031/ERR8050031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/001/ERR8050031/ERR8050031_2.fastq.gz	4550f6e2a5470529057d5cb3e6faa9df;7b89d5a47ff864f1c94551902d36d6e3
ERR8050032	SAMEA12338230	ERX7616749	PRJEB49971	9606	Homo sapiens	5497216663	ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/002/ERR8050032/ERR8050032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/002/ERR8050032/ERR8050032_2.fastq.gz	c6d76e3b755a967a01f59aaf23933c12;bdac4f8423372daacfb016d53cd422ec
ERR8050033	SAMEA12338231	ERX7616750	PRJEB49971	9606	Homo sapiens	9318051806	ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/003/ERR8050033/ERR8050033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR805/003/ERR8050033/ERR8050033_2.fastq.gz	f0565e71962b9d73b7af2f598f33065f;6fdcdd6c96a6bbd7678a8fd3b3bb7d7a
